id,name,price,origin,roast,stock,description
1,エチオピア モカ,1200,エチオピア,浅煎り,在庫あり,華やかな香りとベリーのような酸味が特徴のモカ。浅煎りでその個性を活かした一杯。
2,ブラジル サントス,980,ブラジル,中煎り,在庫あり,ナッツのような香ばしさとバランスの良い味わいで、毎日飲んでも飽きない定番。
3,グアテマラ アンティグア,1450,グアテマラ,中深煎り,在庫切れ,柔らかな酸味とスモーキーな余韻。火山灰土壌が育てる複雑な味わい。
4,マンデリン,1350,インドネシア,深煎り,在庫あり,濃厚なコクと低い酸味。ハーブのような独特の香りを持つ個性派。
5,キリマンジャロ,1600,タンザニア,中煎り,在庫切れ,キレのある強い酸味とワインのような風味。爽やかな後味が印象的。
6,コロンビア スプレモ,1100,コロンビア,中煎り,在庫あり,甘い香りとマイルドな酸味、しっかりしたコクを兼ね備えたオールラウンダー。
7,コスタリカ タラス,1300,コスタリカ,浅煎り,在庫あり,柑橘系のクリアな酸味と上品な甘さ。すっきりとした後味の一杯。
8,ケニア AA,1550,ケニア,中深煎り,在庫あり,トマトのような濃厚な酸味とベリー系のフレーバー。力強い飲みごたえ。
9,パナマ ゲイシャ,2400,パナマ,浅煎り,在庫切れ,ジャスミンのような華やかな香りが際立つ希少品種。紅茶のような繊細さ。
10,イエメン モカマタリ,1800,イエメン,深煎り,在庫あり,ワインのような芳醇な香りと複雑な味わい。伝統的な天日乾燥製法の逸品。
