doc_id,reference_summary,extractive_reference
D0000,電池の持続時間が長い。問い合わせ窓口の品質が高い。,バッテリーは15時間前後持ちました。ミドリワークスのサポート対応が丁寧です。
D0001,到着までが速い。同梱資料の品質が低い。,発送が早いので4日で届きました。説明書が分かりにくいです。
D0002,問い合わせ窓口の品質が高い。コストパフォーマンスに優れる。,アカネ電機のサポート対応が丁寧だと感じました。音質がこの値段のわりに良いと感じました。
D0003,到着までが速い。同梱資料の品質が低い。,発送が早いので3日で届きました。説明書が分かりにくく設定に手間取りました。
D0004,電池の持続時間が長い。長時間の使用でも負担が少ない。,バッテリーの持ちが30時間ほどで良いです。装着感が軽く疲れにくいです。
D0005,コストパフォーマンスに優れる。長時間の使用でも負担が少ない。電池の持続時間が長い。,音質は8571円という値段のわりに良いと思います。装着感が軽くて長時間でも平気でした。バッテリーは21時間前後持ちました。
D0006,問い合わせ窓口の品質が高い。到着までが速い。コストパフォーマンスに優れる。,ノースピークのサポート対応が丁寧です。発送が早いので1日で届きました。音質が値段のわりに良かったです。
D0007,同梱資料の品質が低い。コストパフォーマンスに優れる。,説明書が分かりにくいです。音質は16626円という値段のわりに良いと思います。
D0008,到着までが速い。電池の持続時間が長い。同梱資料の品質が低い。,発送が早く3日で届いています。バッテリーが36時間ほど持ちました。説明書が分かりにくかったです。
D0009,同梱資料の品質が低い。コストパフォーマンスに優れる。問い合わせ窓口の品質が高い。,説明書が分かりにくいのが残念です。音質が値段のわりに良かったです。ミドリワークスのサポート対応が丁寧です。
D0010,同梱資料の品質が低い。電池の持続時間が長い。,説明書が分かりにくいです。バッテリーの持ちが25時間ほどで良いです。
D0011,長時間の使用でも負担が少ない。コストパフォーマンスに優れる。問い合わせ窓口の品質が高い。,装着感が軽く疲れにくいです。音質が値段のわりに良かったです。ソライロのサポート対応が丁寧でした。
D0012,同梱資料の品質が低い。問い合わせ窓口の品質が高い。コストパフォーマンスに優れる。,説明書が分かりにくかったです。アカネ電機のサポート対応が丁寧でした。音質がこの値段のわりに良いです。
D0013,コストパフォーマンスに優れる。問い合わせ窓口の品質が高い。,音質がこの値段のわりに良いと感じました。ソライロのサポート対応が丁寧です。
D0014,長時間の使用でも負担が少ない。電池の持続時間が長い。到着までが速い。,装着感が軽くて長時間でも平気でした。バッテリーが24時間ほど持ちました。発送が早く1日で届いています。
D0015,コストパフォーマンスに優れる。問い合わせ窓口の品質が高い。到着までが速い。,音質は21509円という値段のわりに良いと思います。ソライロのサポート対応が丁寧だと感じました。発送が早いので3日で届きました。
D0016,同梱資料の品質が低い。長時間の使用でも負担が少ない。,説明書が分かりにくいです。装着感が軽くて長時間でも平気でした。
D0017,問い合わせ窓口の品質が高い。到着までが速い。,アカネ電機のサポート対応が丁寧でした。発送が早くて注文から4日で届きました。
D0018,コストパフォーマンスに優れる。問い合わせ窓口の品質が高い。同梱資料の品質が低い。,音質がこの値段のわりに良いと感じました。アカネ電機のサポート対応が丁寧です。説明書が分かりにくかったです。
D0019,到着までが速い。長時間の使用でも負担が少ない。電池の持続時間が長い。,発送が早くて1日で届きました。装着感が軽く疲れにくいです。バッテリーが19時間くらい持ちます。
D0020,問い合わせ窓口の品質が高い。到着までが速い。,アカネ電機のサポート対応が丁寧でした。発送が早いので2日で届きました。
D0021,到着までが速い。問い合わせ窓口の品質が高い。コストパフォーマンスに優れる。,発送が早くて注文から3日で届きました。ハヤブサのサポート対応が丁寧です。音質が値段のわりに良かったです。
D0022,長時間の使用でも負担が少ない。電池の持続時間が長い。コストパフォーマンスに優れる。,装着感が軽く疲れにくいです。バッテリーが27時間くらい持ちます。音質がこの値段のわりに良いと感じました。
D0023,問い合わせ窓口の品質が高い。到着までが速い。,ミドリワークスのサポート対応が丁寧でした。発送が早くて4日で届きました。
D0024,長時間の使用でも負担が少ない。同梱資料の品質が低い。,装着感が軽くて長時間でも平気でした。説明書が分かりにくいのが残念です。
D0025,コストパフォーマンスに優れる。同梱資料の品質が低い。問い合わせ窓口の品質が高い。,音質がこの値段のわりに良いと感じました。説明書が分かりにくく設定に手間取りました。ソライロのサポート対応が丁寧です。
D0026,同梱資料の品質が低い。電池の持続時間が長い。問い合わせ窓口の品質が高い。,説明書が分かりにくく設定に手間取りました。バッテリーの持ちが7時間ほどで良いです。ハヤブサのサポート対応が丁寧でした。
D0027,電池の持続時間が長い。コストパフォーマンスに優れる。同梱資料の品質が低い。,バッテリーが6時間ほど持ちました。音質がこの値段のわりに良いです。説明書が分かりにくかったです。
D0028,電池の持続時間が長い。長時間の使用でも負担が少ない。コストパフォーマンスに優れる。,バッテリーの持ちが10時間ほどで良いです。装着感が軽くて長時間でも平気でした。音質がこの値段のわりに良いです。
D0029,問い合わせ窓口の品質が高い。電池の持続時間が長い。,ミドリワークスのサポート対応が丁寧で助かりました。バッテリーの持ちが13時間ほどで良いです。
D0030,到着までが速い。問い合わせ窓口の品質が高い。,発送が早くて3日で届きました。ノースピークのサポート対応が丁寧だと感じました。
D0031,同梱資料の品質が低い。コストパフォーマンスに優れる。,説明書が分かりにくく設定に手間取りました。音質は5558円という値段のわりに良いと思います。
D0032,問い合わせ窓口の品質が高い。電池の持続時間が長い。コストパフォーマンスに優れる。,ハヤブサのサポート対応が丁寧だと感じました。バッテリーが40時間くらい持ちます。音質がこの値段のわりに良いと感じました。
D0033,問い合わせ窓口の品質が高い。電池の持続時間が長い。,アカネ電機のサポート対応が丁寧でした。バッテリーが8時間ほど持ちました。
D0034,電池の持続時間が長い。コストパフォーマンスに優れる。,バッテリーが13時間くらい持ちます。音質が値段のわりに良かったです。
D0035,同梱資料の品質が低い。コストパフォーマンスに優れる。到着までが速い。,説明書が分かりにくかったです。音質がこの値段のわりに良いと感じました。発送が早くて注文から1日で届きました。
D0036,同梱資料の品質が低い。長時間の使用でも負担が少ない。,説明書が分かりにくく設定に手間取りました。装着感が軽く疲れにくいです。
D0037,問い合わせ窓口の品質が高い。コストパフォーマンスに優れる。長時間の使用でも負担が少ない。,ミドリワークスのサポート対応が丁寧だと感じました。音質がこの値段のわりに良いと感じました。装着感が軽いので長時間でも疲れません。
