listing_id,category
L02926,家電
L00573,ファッション
L00934,ファッション
L01948,本・音楽
L01047,家電
L04838,ホビー
L03866,ファッション
L03887,スポーツ
L00746,ファッション
L01224,ファッション
L03051,ファッション
L00778,本・音楽
L04444,家電
L04158,家電
L02453,ホビー
L00639,家電
L00053,ホビー
L01166,ホビー
L00258,家電
L01713,ファッション
L01865,ファッション
L02232,ホビー
L01900,本・音楽
L03763,本・音楽
L04226,スポーツ
L03404,家電
L02616,家電
L03541,ファッション
L01846,スポーツ
L00472,ファッション
L01693,ファッション
L04159,ホビー
L00002,スポーツ
L04806,ホビー
L02741,ファッション
L03040,本・音楽
L02432,ホビー
L03815,家電
L02422,ファッション
L01112,本・音楽
L00424,本・音楽
L02197,ホビー
L00886,ベビー・キッズ
L02788,スポーツ
L00259,スポーツ
L04776,家電
L02655,ファッション
L04629,ホビー
L02512,家電
L03002,ファッション
L01805,ベビー・キッズ
L04198,家電
L01343,スポーツ
L01910,ベビー・キッズ
L01821,家電
L04625,家電
L02171,ホビー
L03505,家電
L02637,家電
L02900,家電
L04033,家電
L02781,ファッション
L01761,ホビー
L02593,ファッション
L01371,家電
L04906,家電
L04306,家電
L02480,家電
L04528,家電
L02529,ホビー
L04903,ホビー
L04108,スポーツ
L03888,本・音楽
L00365,本・音楽
L01428,家電
L00460,本・音楽
L01573,家電
L03730,家電
L02242,スポーツ
L01273,ファッション
L03037,本・音楽
L02003,ファッション
L04039,ファッション
L03413,スポーツ
L03803,ホビー
L03405,スポーツ
L03690,家電
L04895,ベビー・キッズ
L04068,ベビー・キッズ
L04327,スポーツ
L04228,ホビー
L03124,スポーツ
L04716,家電
L02503,本・音楽
L02791,スポーツ
L01735,家電
L02710,家電
L00905,家電
L03182,家電
L03628,ホビー
L03442,ホビー
L02594,ファッション
L00769,ファッション
L00668,ホビー
L00342,スポーツ
L01580,家電
L03739,本・音楽
L01653,家電
L00703,ファッション
L00888,ホビー
L01984,家電
L03757,家電
L00361,ベビー・キッズ
L02154,家電
L00913,家電
L01037,ファッション
L04415,家電
L03645,ファッション
L04993,家電
L01284,ホビー
L03047,ファッション
L00952,ベビー・キッズ
L04028,家電
L04641,ファッション
L01599,ファッション
L01008,本・音楽
L04366,家電
L00354,ファッション
L00681,本・音楽
L04552,ホビー
L01972,ホビー
L04018,家電
L00308,ファッション
L03509,ファッション
L03501,ファッション
L02797,本・音楽
L04830,ホビー
L01252,ベビー・キッズ
L04585,ファッション
L04930,本・音楽
L01440,ファッション
L03673,ファッション
L00008,ファッション
L03942,本・音楽
L04988,ファッション
L00776,スポーツ
L02632,ホビー
L01353,ホビー
L03377,家電
L04474,本・音楽
L03934,本・音楽
L01953,家電
L04316,ファッション
L01134,ホビー
L00870,家電
L00384,ホビー
L01422,ベビー・キッズ
L03156,ファッション
L02313,ファッション
L02956,ファッション
L00784,ファッション
L01931,本・音楽
L00687,ファッション
L01073,家電
L03995,家電
L04485,ファッション
L01786,ファッション
L02694,本・音楽
L02326,ファッション
L02135,スポーツ
L01563,家電
L04393,家電
L00003,本・音楽
L01291,スポーツ
L01842,本・音楽
L01564,本・音楽
L03846,家電
L00397,ファッション
L04014,ホビー
L03912,家電
L03242,家電
L00260,ベビー・キッズ
L00250,家電
L02442,スポーツ
L00202,ファッション
L00105,家電
L03299,ファッション
L04105,ファッション
L02018,家電
L01629,家電
L04263,ホビー
L03576,本・音楽
L03031,スポーツ
L02353,ベビー・キッズ
L00878,本・音楽
L04967,ファッション
L04308,家電
L04749,スポーツ
L00049,ホビー
L01726,家電
L00299,家電
L02281,本・音楽
L02998,家電
L01077,ホビー
L02441,家電
L01710,家電
L01225,ファッション
L01426,ホビー
L04116,スポーツ
L00634,スポーツ
L00030,スポーツ
L04152,ベビー・キッズ
L04078,ファッション
L00826,ホビー
L03103,本・音楽
L03112,スポーツ
L02918,本・音楽
L01382,ホビー
L00540,ファッション
L04831,本・音楽
L04703,ホビー
L01765,ホビー
L04102,ファッション
L04161,家電
L04628,家電
L02555,ベビー・キッズ
L04015,ベビー・キッズ
L01470,ホビー
L00457,ファッション
L04632,家電
L03159,ホビー
L04008,ファッション
L01316,本・音楽
L00603,家電
L00921,家電
L03997,ベビー・キッズ
L02717,家電
L00533,家電
L02880,本・音楽
L02746,家電
L03460,家電
L02943,ホビー
L00883,スポーツ
L04432,ホビー
L02110,ホビー
L04175,家電
L01673,家電
L02757,家電
L03119,ファッション
L00006,家電
L01340,ホビー
L04900,本・音楽
L00042,家電
L01633,スポーツ
L02878,スポーツ
L01014,ファッション
L00333,スポーツ
L01096,スポーツ
L02977,家電
L01335,家電
L01509,スポーツ
L03371,ファッション
L02395,ホビー
L01936,ホビー
L02195,ファッション
L01445,ホビー
L02579,家電
L00169,ホビー
L01961,本・音楽
L03751,スポーツ
L00140,スポーツ
L00612,ホビー
L03618,家電
L04129,ファッション
L00294,ファッション
L01359,ファッション
L00390,家電
L00026,本・音楽
L00134,ファッション
L03627,ベビー・キッズ
L04880,本・音楽
L00562,ベビー・キッズ
L04487,スポーツ
L02444,家電
L01730,スポーツ
L04851,ホビー
L04114,スポーツ
L00735,スポーツ
L00091,家電
L04581,スポーツ
L03626,本・音楽
L01864,本・音楽
L03443,ファッション
L03329,スポーツ
L02872,ベビー・キッズ
L04522,ファッション
L02370,ホビー
L02941,家電
L00144,ホビー
L04526,ファッション
L01280,家電
L04992,ファッション
L01403,家電
L02580,本・音楽
L01856,本・音楽
L03449,ホビー
L04179,ファッション
L01620,本・音楽
L04572,家電
L02164,家電
L02158,本・音楽
L01467,ホビー
L04583,ファッション
L02795,本・音楽
L00222,スポーツ
L02049,ファッション
L03659,本・音楽
L00601,本・音楽
L04681,ファッション
L02969,ファッション
L01618,家電
L01937,家電
L04795,ホビー
L01420,ファッション
L03195,家電
L00978,ホビー
L00684,ファッション
L04667,家電
L00212,ホビー
L03087,ファッション
L00062,ファッション
L01921,ベビー・キッズ
L04791,本・音楽
L00130,ベビー・キッズ
L04807,家電
L02804,家電
L01609,ホビー
L03948,スポーツ
L04170,ホビー
L03008,家電
L02543,ファッション
L01505,ファッション
L00622,本・音楽
L02709,ファッション
L03901,ホビー
L04282,ホビー
L00989,ホビー
L04944,ファッション
L01369,スポーツ
L01568,家電
L04544,ファッション
L00957,ベビー・キッズ
L01401,ファッション
L02774,家電
L02119,本・音楽
L03349,家電
L03137,ファッション
L00587,本・音楽
L00537,ファッション
L04887,家電
L03192,ホビー
L01549,ホビー
L04577,本・音楽
L04942,家電
L04324,家電
L01650,ファッション
L01746,ファッション
L03251,スポーツ
L04927,本・音楽
L00242,家電
L04022,家電
L03152,ファッション
L02502,ベビー・キッズ
L04371,家電
L04058,家電
L01288,スポーツ
L00757,家電
L04694,ホビー
L04307,家電
L02417,家電
L01717,本・音楽
L01323,ファッション
L01554,家電
L00205,家電
L02777,ファッション
L02201,本・音楽
L03467,ホビー
L01647,家電
L00125,ホビー
L02673,ファッション
L01691,家電
L00031,スポーツ
L00560,ホビー
L02715,ファッション
L00489,ファッション
L00150,家電
L00595,家電
L00100,ファッション
L00419,本・音楽
L04233,ベビー・キッズ
L03861,家電
L01904,ベビー・キッズ
L02623,家電
L03226,ファッション
L01131,スポーツ
L01833,スポーツ
L00345,本・音楽
L03408,ファッション
L03268,ファッション
L02599,ホビー
L02642,スポーツ
L00289,ホビー
L03557,ファッション
L02298,ファッション
L04111,家電
L03187,家電
L01531,ホビー
L00095,スポーツ
L03288,家電
L03642,スポーツ
L03215,ファッション
L03606,ホビー
L01756,ベビー・キッズ
L02030,スポーツ
L00728,ベビー・キッズ
L04139,家電
L03878,ベビー・キッズ
L04315,ベビー・キッズ
L04189,スポーツ
L04208,ファッション
L01721,本・音楽
L00269,家電
L00715,ホビー
L04264,家電
L00442,ファッション
L01078,ベビー・キッズ
L02140,ファッション
L00497,スポーツ
L01976,本・音楽
L01002,ファッション
L01978,家電
L02952,ベビー・キッズ
L00409,家電
L04219,ホビー
L00356,本・音楽
L00627,家電
L04801,ベビー・キッズ
L03430,スポーツ
L02954,ホビー
L04732,ホビー
L00272,家電
L02466,ファッション
L04712,ファッション
L04254,ファッション
L03839,家電
L03756,ファッション
L03795,ホビー
L03800,ファッション
L01278,家電
L03838,家電
L04534,家電
L00430,ホビー
L01484,家電
L02418,ファッション
L02742,ファッション
L01970,ホビー
L03542,家電
L02072,スポーツ
L00758,ベビー・キッズ
L03107,ファッション
L00915,ファッション
L03286,ベビー・キッズ
L00873,スポーツ
L03414,本・音楽
L00223,ファッション
L02217,ファッション
L01407,ファッション
L01362,ファッション
L04363,家電
L04567,ファッション
L02240,ホビー
L02071,スポーツ
L03522,ファッション
L02361,ホビー
L02375,家電
L02927,ファッション
L01232,本・音楽
L00648,ホビー
L03211,ホビー
L01640,本・音楽
L02976,ファッション
L04451,家電
L03697,ホビー
L02527,ファッション
L04531,ファッション
L02167,本・音楽
L04344,スポーツ
L01724,スポーツ
L03295,ホビー
L03113,本・音楽
L00046,家電
L02296,ホビー
L01053,ホビー
L03735,本・音楽
L00195,本・音楽
L03328,家電
L02848,ホビー
L02704,ホビー
L03569,スポーツ
L00539,本・音楽
L02648,ホビー
L01552,家電
L02412,家電
L01390,ホビー
L04819,本・音楽
L03623,ファッション
L02344,家電
L01574,家電
L00625,家電
L02919,家電
L04211,スポーツ
L02019,家電
L03358,ファッション
L03350,ホビー
L03782,本・音楽
L00136,家電
L01946,ファッション
L03753,本・音楽
L04619,スポーツ
L02126,スポーツ
L04778,本・音楽
L03093,ホビー
L02207,家電
L00647,スポーツ
L02936,ホビー
L01347,ファッション
L04358,ファッション
L02355,ファッション
L04402,ホビー
L03393,本・音楽
L01912,スポーツ
L01558,ファッション
L01513,家電
L01469,ファッション
L00410,本・音楽
L04755,スポーツ
L00088,ホビー
L03403,家電
L02722,ベビー・キッズ
L00197,本・音楽
L02817,ホビー
L00273,家電
L00381,家電
L01154,家電
L02369,本・音楽
L03213,ファッション
L02170,本・音楽
L03940,家電
L00004,ホビー
L00535,家電
L02391,ホビー
L01234,家電
L02778,ホビー
L00180,本・音楽
L03179,家電
L01959,ホビー
L00084,ホビー
L00770,家電
L04123,ファッション
L00674,家電
L02087,ファッション
L04859,家電
L00797,ホビー
L01274,ファッション
L01111,ファッション
L04869,ホビー
L00367,家電
L04201,スポーツ
L00349,スポーツ
L03830,家電
L04947,ファッション
L03908,ファッション
L00676,スポーツ
L01503,本・音楽
L00962,ホビー
L01462,本・音楽
L00901,スポーツ
L02381,家電
L04822,家電
L03310,スポーツ
L03400,ファッション
L04083,ファッション
L02065,ベビー・キッズ
L03217,家電
L04540,ホビー
L04005,家電
L03332,ファッション
L04323,家電
L03964,ベビー・キッズ
L02228,家電
L00813,家電
L01674,ファッション
L04659,本・音楽
L00124,スポーツ
L01430,家電
L00565,ファッション
L03580,家電
L00793,家電
L01595,家電
L01178,スポーツ
L02606,スポーツ
L01876,スポーツ
L00307,ホビー
L03153,ファッション
L00203,家電
L03695,ファッション
L04908,ベビー・キッズ
L04565,家電
L03417,スポーツ
L01855,家電
L01839,家電
L04244,家電
L03170,ファッション
L00753,スポーツ
L00282,ファッション
L04679,スポーツ
L00247,スポーツ
L00606,ホビー
L02163,スポーツ
L04761,ファッション
L01896,スポーツ
L00476,本・音楽
L01463,スポーツ
L03852,スポーツ
L02374,ホビー
L04300,ファッション
L04186,家電
L00080,ファッション
L00743,ホビー
L03968,スポーツ
L04499,スポーツ
L00034,ホビー
L01298,ホビー
L01725,ファッション
L04622,ファッション
L00286,家電
L01982,ベビー・キッズ
L01698,ファッション
L02666,家電
L01221,本・音楽
L00127,ファッション
L00855,ホビー
L03120,家電
L04589,ベビー・キッズ
L04438,ファッション
L02732,ホビー
L00907,スポーツ
L00842,家電
L01263,スポーツ
L00891,ファッション
L02569,本・音楽
L04156,本・音楽
L03010,家電
L00690,家電
L03910,スポーツ
L01707,家電
L02341,ファッション
L01018,ホビー
L03223,家電
L01829,ホビー
L00482,家電
L04634,スポーツ
L01099,家電
L01940,家電
L02153,本・音楽
L01583,家電
L01687,本・音楽
L03004,スポーツ
L03333,家電
L04045,ファッション
L04532,家電
L01025,スポーツ
L02613,家電
L04894,ファッション
L03534,スポーツ
L00909,ホビー
L00914,本・音楽
L00759,ファッション
L02924,家電
L00075,家電
L02020,スポーツ
L00586,家電
L02002,家電
L02318,本・音楽
L01010,スポーツ
L04800,家電
L04773,本・音楽
L04885,家電
L01108,家電
L02563,スポーツ
L03456,ファッション
L00303,ファッション
L03354,家電
L01029,本・音楽
L02141,スポーツ
L04781,スポーツ
L00644,ファッション
L03089,ファッション
L02729,本・音楽
L00359,本・音楽
L00263,ファッション
L00633,スポーツ
L01771,ベビー・キッズ
L01909,ホビー
L00377,ホビー
L01211,家電
L02909,ファッション
L01902,ファッション
L00389,本・音楽
L02036,本・音楽
L01479,ファッション
L03378,ホビー
L01144,本・音楽
L02108,ホビー
L00812,スポーツ
L00675,家電
L04468,家電
L04595,ホビー
L04422,家電
L04370,ファッション
L03303,ファッション
L00300,家電
L01745,本・音楽
L00604,家電
L03411,ホビー
L02461,本・音楽
L00679,ホビー
L04878,ファッション
L02904,ファッション
L04968,ファッション
L00066,家電
L00063,ファッション
L01475,ファッション
L04505,ホビー
L01520,家電
L03366,ファッション
L00428,ファッション
L02280,家電
L02273,本・音楽
L02474,家電
L04243,家電
L00641,家電
L00547,ホビー
L01439,スポーツ
L02624,家電
L01776,本・音楽
L01602,ホビー
L00241,家電
L03778,スポーツ
L00691,ファッション
L01085,家電
L02144,スポーツ
L01339,ファッション
L00659,家電
L00292,家電
L02335,家電
L04650,ホビー
L00335,本・音楽
L03446,ファッション
L03938,ホビー
L00041,スポーツ
L01621,ホビー
L03357,ホビー
L02214,家電
L03256,家電
L01722,ホビー
L02598,ホビー
L02169,家電
L03489,ホビー
L00871,家電
L03397,スポーツ
L02241,家電
L03774,スポーツ
L00745,スポーツ
L00403,ホビー
L00369,家電
L02282,本・音楽
L03342,家電
L01688,ホビー
L04173,ホビー
L00111,ファッション
L03581,本・音楽
L00918,ファッション
L02491,ホビー
L01419,本・音楽
L04494,ホビー
L04697,ホビー
L01243,スポーツ
L01038,スポーツ
L02113,ホビー
L02066,ファッション
L04118,家電
L04467,ファッション
L01546,ファッション
L02102,本・音楽
L03352,家電
L02468,本・音楽
L00946,家電
L02822,ファッション
L01943,家電
L00860,本・音楽
L00329,ベビー・キッズ
L04234,ベビー・キッズ
L03527,本・音楽
L03810,家電
L03518,スポーツ
L00427,家電
L04246,家電
L04182,ファッション
L02914,ファッション
L01412,ファッション
L04167,ホビー
L01869,ベビー・キッズ
L04200,家電
L04089,ベビー・キッズ
L00574,ホビー
L03984,ファッション
L03060,ホビー
L00777,ホビー
L02714,ファッション
L01454,家電
L02700,本・音楽
L03596,家電
L04482,ホビー
L00752,家電
L01327,ファッション
L00944,ファッション
L02056,ファッション
L03347,ホビー
L00819,家電
L04010,ホビー
L04974,ファッション
L03362,ベビー・キッズ
L03766,スポーツ
L02881,家電
L02115,家電
L03264,ファッション
L00823,ファッション
L01733,家電
L01174,ホビー
L03764,家電
L02796,家電
L04059,スポーツ
L04524,ベビー・キッズ
L01619,家電
L03708,スポーツ
L00716,本・音楽
L03904,本・音楽
L03043,家電
L02134,ファッション
L00179,ホビー
L02981,ベビー・キッズ
L04995,ホビー
L00624,ホビー
L02398,スポーツ
L01040,家電
L04648,家電
L02488,家電
L02698,ファッション
L04092,家電
L03057,ホビー
L01762,ホビー
L02199,家電
L03547,ベビー・キッズ
L04538,ベビー・キッズ
L04617,家電
L03503,ホビー
L04021,家電
L00224,家電
L01527,本・音楽
L00379,ファッション
L01793,ホビー
L00990,ファッション
L01757,ファッション
L01890,家電
L03036,ファッション
L02920,家電
L03967,本・音楽
L01981,ホビー
L00650,家電
L01471,ホビー
L02023,家電
L01181,ファッション
L00338,家電
L03804,家電
L01754,家電
L04871,家電
L02015,ファッション
L03274,本・音楽
L02875,ファッション
L03131,家電
L00899,家電
L01322,ホビー
L04110,ホビー
L04672,ファッション
L00146,ファッション
L02863,ホビー
L00078,家電
L04169,家電
L01919,ファッション
L04404,本・音楽
L03207,家電
L04705,ファッション
L01309,スポーツ
L03343,ファッション
L00551,家電
L02434,家電
L00868,本・音楽
L00718,本・音楽
L03130,ファッション
L01658,スポーツ
L00407,ホビー
L02028,家電
L04707,本・音楽
L03134,家電
L04624,ホビー
L02525,ファッション
L03928,スポーツ
L00067,スポーツ
L02485,ホビー
L01444,ファッション
L04767,ファッション
L00297,ファッション
L01491,ファッション
L02805,家電
L04771,スポーツ
L03259,ホビー
L02629,本・音楽
L00094,家電
L04956,家電
L02854,ファッション
L04684,家電
L02840,スポーツ
L04497,スポーツ
L01115,家電
