question_id,question,model,product_key,answer_passage_id,answer_value,answerable,paraphrased
Q0553,Y812-B の返送はいつまで可能ですか。,Y812-B,P0100,K00403,14,1,1
Q0080,J914-B の重量は何グラムですか。,J914-B,P0174,K00696,411,1,0
Q0391,C997-C を買うとコードは何本ついてきますか。,C997-C,P0161,K00646,3,1,1
Q0249,H907-C に付属するケーブルは何本ですか。,H907-C,P0067,K00270,1,1,0
Q0455,E722-C に付属するケーブルは何本ですか。,E722-C,P0009,K00038,2,1,0
Q0105,Z460-B の重量は何グラムですか。,Z460-B,P0102,K00408,371,1,0
Q0297,L619-B はどれくらいの期間サポートを受けられますか。,L619-B,P0178,K00713,6,1,1
Q0313,E704-B に付属するケーブルは何本ですか。,E704-B,P0060,K00242,1,1,0
Q0065,N425-C に付属するケーブルは何本ですか。,N425-C,P0131,K00526,3,1,0
Q0395,R433-B は何日以内なら返品できますか。,R433-B,P0138,K00555,14,1,0
Q0103,E704-B の重量は何グラムですか。,E704-B,P0060,K00240,439,1,0
Q0282,S148-C に付属するケーブルは何本ですか。,S148-C,P0141,K00566,1,1,0
Q0216,P283-C はどのくらいの重さですか。,P283-C,P0135,K00540,421,1,1
Q0516,L419-B の保証期間は何か月ですか。,L419-B,P0022,K00089,18,1,0
Q0552,B566-B はどのくらいの重さですか。,B566-B,P0054,K00216,239,1,1
Q0596,N425-B の重量は何グラムですか。,N425-B,P0130,K00520,205,1,0
Q0502,T559-B の返送はいつまで可能ですか。,T559-B,P0038,K00155,14,1,1
Q0160,Q362-C はどのくらいの重さですか。,Q362-C,P0085,K00340,268,1,1
Q0300,D826-B は何日以内なら返品できますか。,D826-B,P0162,K00651,7,1,0
Q0586,Q362-C の重量は何グラムですか。,Q362-C,P0085,K00340,268,1,0
Q0251,D414-B の消費電力は何ワットですか。,D414-B,P0058,,,0,0
Q0414,I468-B の保証期間は何か月ですか。,I468-B,P0172,K00689,12,1,0
Q0363,G624-B の重量は何グラムですか。,G624-B,P0064,K00256,432,1,0
Q0366,T559-C の保証期間は何か月ですか。,T559-C,P0039,K00157,18,1,0
Q0178,V569-C は何日以内なら返品できますか。,V569-C,P0147,K00591,30,1,0
Q0392,Z166-B に付属するケースの色は何色ですか。,Z166-B,P0154,,,0,0
Q0420,F439-B の返送はいつまで可能ですか。,F439-B,P0114,K00459,14,1,1
Q0154,P283-B を買うとコードは何本ついてきますか。,P283-B,P0134,K00538,1,1,1
Q0114,H948-B の返送はいつまで可能ですか。,H948-B,P0014,K00059,7,1,1
Q0305,C819-B の保証は延長できますか。,C819-B,P0056,,,0,0
Q0565,M735-B の重量は梱包込みで何グラムですか。,M735-B,P0128,,,0,0
Q0405,E704-C の消費電力は何ワットですか。,E704-C,P0061,,,0,0
Q0259,O372-B は何日以内なら返品できますか。,O372-B,P0132,K00531,8,1,0
Q0128,E722-B は何日以内なら返品できますか。,E722-B,P0008,K00035,7,1,0
Q0387,K765-B の重量は梱包込みで何グラムですか。,K765-B,P0124,,,0,0
Q0233,A634-B の保証は延長できますか。,A634-B,P0104,,,0,0
Q0287,M242-B の保証期間は何か月ですか。,M242-B,P0024,K00097,6,1,0
Q0182,J914-C の保証期間は何か月ですか。,J914-C,P0175,K00701,12,1,0
Q0510,J914-C はどれくらいの期間サポートを受けられますか。,J914-C,P0175,K00701,12,1,1
Q0273,F467-B は返品時に送料がかかりますか。,F467-B,P0166,,,0,0
Q0032,M735-B は何日以内なら返品できますか。,M735-B,P0128,K00515,7,1,0
Q0422,O372-C はどのくらいの重さですか。,O372-C,P0133,K00532,355,1,1
Q0367,S148-C はどのくらいの重さですか。,S148-C,P0141,K00564,207,1,1
Q0362,T559-C の消費電力は何ワットですか。,T559-C,P0039,,,0,0
Q0060,D114-B はどのくらいの重さですか。,D114-B,P0110,K00440,253,1,1
Q0444,K431-C はどれくらいの期間サポートを受けられますか。,K431-C,P0177,K00709,24,1,1
Q0214,J556-C はどのくらいの重さですか。,J556-C,P0071,K00284,231,1,1
Q0484,K187-C の保証は延長できますか。,K187-C,P0021,,,0,0
Q0462,E722-B の返送はいつまで可能ですか。,E722-B,P0008,K00035,7,1,1
Q0293,R467-C は何日以内なら返品できますか。,R467-C,P0087,K00351,7,1,0
