doc_id,brand,n_sentences,n_key_points,document,reference_summary,extractive_reference,hallucinated_summary
D0100,ミドリワークス,15,3,箱は少し大きめでした。友人に勧められて購入を決めました。ミドリワークスのサポート対応が丁寧だと感じました。バッテリーは25時間前後持ちました。ミドリワークスのサポート対応が丁寧でした。特に不満は今のところありません。使い始めてまだ日が浅いです。バッテリーの持ちが25時間ほどで良いです。説明書が分かりにくかったです。説明書が分かりにくいのが残念です。梱包はごく普通の段ボールでした。自宅と職場の両方で使う予定です。説明書が分かりにくく設定に手間取りました。説明書が分かりにくいです。バッテリーが25時間くらい持ちます。,同梱資料の品質が低い。電池の持続時間が長い。問い合わせ窓口の品質が高い。,説明書が分かりにくく設定に手間取りました。バッテリーの持ちが25時間ほどで良いです。ミドリワークスのサポート対応が丁寧だと感じました。,同梱資料の品質が低い。電池の持続時間が長い。問い合わせ窓口の品質が高い。なおノースピーク製で保証は80か月です。
D0101,アカネ電機,13,3,レビューを見てから買うか迷いました。アカネ電機のサポート対応が丁寧だと感じました。装着感が軽くて長時間でも平気でした。週末にしか使っていないので耐久性はまだ分かりません。発送が早く1日で届いています。特に不満は今のところありません。アカネ電機のサポート対応が丁寧で助かりました。色は写真で見た印象とほぼ同じです。アカネ電機のサポート対応が丁寧です。使い始めてまだ日が浅いです。アカネ電機のサポート対応が丁寧でした。装着感が軽くて疲れません。発送が早くて注文から1日で届きました。,到着までが速い。問い合わせ窓口の品質が高い。長時間の使用でも負担が少ない。,発送が早く1日で届いています。アカネ電機のサポート対応が丁寧でした。装着感が軽くて長時間でも平気でした。,到着までが速い。問い合わせ窓口の品質が高い。長時間の使用でも負担が少ない。なおハヤブサ製で保証は87か月です。
D0102,ハヤブサ,15,3,自宅と職場の両方で使う予定です。バッテリーが17時間ほど持ちました。ハヤブサのサポート対応が丁寧でした。以前は別のメーカーの物を使っていました。ハヤブサのサポート対応が丁寧だと感じました。音質は25955円という値段のわりに良いと思います。ハヤブサのサポート対応が丁寧です。レビューを見てから買うか迷いました。バッテリーが17時間くらい持ちます。色は写真で見た印象とほぼ同じです。音質がこの値段のわりに良いです。音質が値段のわりに良かったです。ハヤブサのサポート対応が丁寧で助かりました。家族へのプレゼント用に買いました。バッテリーは17時間前後持ちました。,電池の持続時間が長い。問い合わせ窓口の品質が高い。コストパフォーマンスに優れる。,バッテリーは17時間前後持ちました。ハヤブサのサポート対応が丁寧で助かりました。音質がこの値段のわりに良いです。,電池の持続時間が長い。問い合わせ窓口の品質が高い。コストパフォーマンスに優れる。なおアカネ電機製で保証は90か月です。
D0103,ノースピーク,13,2,説明書が分かりにくいです。家族へのプレゼント用に買いました。音質は5326円という値段のわりに良いと思います。色は写真で見た印象とほぼ同じです。使い始めてまだ日が浅いです。音質が値段のわりに良かったです。音質がこの値段のわりに良いです。説明書が分かりにくかったです。自宅と職場の両方で使う予定です。以前は別のメーカーの物を使っていました。説明書が分かりにくく設定に手間取りました。説明書が分かりにくいのが残念です。音質がこの値段のわりに良いと感じました。,同梱資料の品質が低い。コストパフォーマンスに優れる。,説明書が分かりにくく設定に手間取りました。音質は5326円という値段のわりに良いと思います。,同梱資料の品質が低い。コストパフォーマンスに優れる。なおハヤブサ製で保証は93か月です。
D0104,ミドリワークス,17,3,説明書が分かりにくいです。使い始めてまだ日が浅いです。音質は14519円という値段のわりに良いと思います。友人に勧められて購入を決めました。同じ物をもう一つ買おうか検討中です。装着感が軽く疲れにくいです。以前は別のメーカーの物を使っていました。音質が値段のわりに良かったです。説明書が分かりにくかったです。説明書が分かりにくく設定に手間取りました。装着感が軽いので長時間でも疲れません。色は写真で見た印象とほぼ同じです。箱は少し大きめでした。音質がこの値段のわりに良いと感じました。説明書が分かりにくいのが残念です。音質がこの値段のわりに良いです。装着感が軽くて長時間でも平気でした。,同梱資料の品質が低い。コストパフォーマンスに優れる。長時間の使用でも負担が少ない。,説明書が分かりにくく設定に手間取りました。音質がこの値段のわりに良いと感じました。装着感が軽くて長時間でも平気でした。,同梱資料の品質が低い。コストパフォーマンスに優れる。長時間の使用でも負担が少ない。なおノースピーク製で保証は51か月です。
D0105,ミドリワークス,14,3,説明書が分かりにくかったです。発送が早く2日で届いています。以前は別のメーカーの物を使っていました。ミドリワークスのサポート対応が丁寧で助かりました。発送が早くて2日で届きました。レビューを見てから買うか迷いました。友人に勧められて購入を決めました。ミドリワークスのサポート対応が丁寧です。説明書が分かりにくいです。説明書が分かりにくいのが残念です。自宅と職場の両方で使う予定です。箱は少し大きめでした。ミドリワークスのサポート対応が丁寧だと感じました。説明書が分かりにくく設定に手間取りました。,同梱資料の品質が低い。問い合わせ窓口の品質が高い。到着までが速い。,説明書が分かりにくいです。ミドリワークスのサポート対応が丁寧だと感じました。発送が早くて2日で届きました。,同梱資料の品質が低い。問い合わせ窓口の品質が高い。到着までが速い。なおアカネ電機製で保証は63か月です。
D0106,ソライロ,14,3,使い始めてまだ日が浅いです。梱包はごく普通の段ボールでした。説明書が分かりにくいです。発送が早くて2日で届きました。特に不満は今のところありません。装着感が軽いので長時間でも疲れません。同じ物をもう一つ買おうか検討中です。発送が早くて注文から2日で届きました。発送が早いので2日で届きました。装着感が軽くて疲れません。装着感が軽く疲れにくいです。装着感が軽くて長時間でも平気でした。箱は少し大きめでした。説明書が分かりにくかったです。,同梱資料の品質が低い。長時間の使用でも負担が少ない。到着までが速い。,説明書が分かりにくかったです。装着感が軽くて疲れません。発送が早いので2日で届きました。,同梱資料の品質が低い。長時間の使用でも負担が少ない。到着までが速い。なおミドリワークス製で保証は59か月です。
D0107,ミドリワークス,9,2,説明書が分かりにくかったです。使い始めてまだ日が浅いです。箱は少し大きめでした。以前は別のメーカーの物を使っていました。説明書が分かりにくく設定に手間取りました。発送が早いので3日で届きました。説明書が分かりにくいです。梱包はごく普通の段ボールでした。発送が早く3日で届いています。,到着までが速い。同梱資料の品質が低い。,発送が早いので3日で届きました。説明書が分かりにくかったです。,到着までが速い。同梱資料の品質が低い。なおアカネ電機製で保証は60か月です。
D0108,ソライロ,12,2,週末にしか使っていないので耐久性はまだ分かりません。特に不満は今のところありません。友人に勧められて購入を決めました。発送が早くて4日で届きました。以前は別のメーカーの物を使っていました。音質がこの値段のわりに良いです。発送が早く4日で届いています。音質がこの値段のわりに良いと感じました。色は写真で見た印象とほぼ同じです。レビューを見てから買うか迷いました。梱包はごく普通の段ボールでした。音質は23133円という値段のわりに良いと思います。,コストパフォーマンスに優れる。到着までが速い。,音質がこの値段のわりに良いです。発送が早くて4日で届きました。,コストパフォーマンスに優れる。到着までが速い。なおハヤブサ製で保証は52か月です。
D0109,ノースピーク,13,2,梱包はごく普通の段ボールでした。ノースピークのサポート対応が丁寧です。友人に勧められて購入を決めました。ノースピークのサポート対応が丁寧だと感じました。装着感が軽くて長時間でも平気でした。ノースピークのサポート対応が丁寧でした。同じ物をもう一つ買おうか検討中です。特に不満は今のところありません。家族へのプレゼント用に買いました。色は写真で見た印象とほぼ同じです。自宅と職場の両方で使う予定です。装着感が軽いので長時間でも疲れません。装着感が軽く疲れにくいです。,問い合わせ窓口の品質が高い。長時間の使用でも負担が少ない。,ノースピークのサポート対応が丁寧です。装着感が軽く疲れにくいです。,問い合わせ窓口の品質が高い。長時間の使用でも負担が少ない。なおハヤブサ製で保証は81か月です。
